patch_size,depth,num_heads,use_spt,use_lsa,finetune_mode,lr,weight_decay,proxy_epochs,val_acc,time_sec,params,fitness,generation,rank
16,6,4,0,0,last2,0.001,0.0001,5,0.6022,182.0152096748352,11057380,0.43095446344172156,0,0
16,6,4,0,1,last2,0.0001,0.0001,5,0.6182,235.79517531394958,11057404,0.4290275682286834,0,1
16,8,8,0,0,full,0.0003,0.0005,5,0.6952,405.0575830936432,14606308,0.4141177256354523,0,2
16,6,4,0,1,full,0.0003,0.0001,5,0.641,404.334748506546,11057404,0.395647710497818,0,3
16,6,8,1,0,last2,0.0001,0.0001,5,0.3846,197.21438217163086,12237796,0.19648391260945636,0,4
16,8,8,1,1,full,0.0001,0.0005,5,0.5412,663.9641683101654,15786788,0.16201073056327817,0,5
16,10,4,1,0,full,0.0001,0.0005,5,0.5348,541.1073179244995,19335652,0.16107437402516686,0,6
16,8,6,1,0,last2,0.001,0.0005,5,0.332,220.34711933135986,15786724,0.10068372022288007,0,7
16,8,4,1,0,last2,0.0003,0.0001,5,0.327,230.9236388206482,15786724,0.09215821372645062,0,8
16,12,8,1,0,full,0.0003,0.0001,5,0.4858,616.9875795841217,22884580,0.051291673471959454,0,9
16,6,6,0,0,last2,0.001,0.0005,5,0.6808,171.5889389514923,11057380,0.5130298870161693,1,0
16,6,4,0,0,full,0.0001,0.0005,5,0.6898,323.62726163864136,11057380,0.4713504461204528,1,1
16,6,4,0,0,last2,0.001,0.0005,5,0.597,181.30055475234985,11057380,0.4259926817492167,1,2
16,8,4,0,1,last2,0.0003,0.0001,5,0.6352,271.4358551502228,14606340,0.3986579816165924,1,3
16,8,4,0,1,last2,0.001,0.0005,5,0.621,272.7269365787506,14606340,0.38402762114041644,1,4
16,6,8,1,1,last2,0.0003,0.0005,5,0.3856,297.6267547607422,12237844,0.16401264174641922,1,5
16,6,8,1,1,last2,0.001,0.0005,5,0.3862,302.3393132686615,12237844,0.16304178891044618,1,6
16,10,8,1,0,full,0.0003,0.0005,5,0.505,526.9856264591217,19335652,0.13598160451362606,1,7
16,10,4,0,0,full,0.001,0.0001,5,0.4384,507.04809617996216,18155236,0.08783160794001266,1,8
16,12,4,1,0,last2,0.001,0.0001,5,0.2422,285.12841296195984,22884580,-0.0816886043206533,1,9
16,8,6,0,0,last2,0.001,0.0005,5,0.7272,198.25719332695007,14606308,0.5150511888910165,2,0
16,8,6,0,1,last2,0.001,0.0001,5,0.7344,300.3065547943115,14606356,0.4882342550685629,2,1
16,6,4,0,0,last2,0.0003,0.0005,5,0.6114,182.46042609214783,11057380,0.44000605796928416,2,2
16,6,8,0,1,full,0.0001,0.0001,5,0.7048,486.1383674144745,11057428,0.43217959752850843,2,3
16,6,4,0,0,last2,0.001,0.0001,5,0.6022,180.74087762832642,11057380,0.43137924079055784,2,4
16,6,4,0,1,last2,0.001,0.0005,5,0.598,230.04857683181763,11057404,0.41074310105606077,2,5
16,12,4,0,0,full,0.0003,0.0001,5,0.707,600.2353768348694,21704164,0.28987990105504347,2,6
